"","date","id","content"
"385",2013-09-22,"핫바(apil****)","부디 이런영화가 또 나와주길. 웰메이드 짝짝짝 시간가는줄 몰랐다"
"386",2013-09-22,"jang****","전혀 지루하지않고 참신하다!!"
"387",2013-09-22,"PoPsong(lort****)","내가지금까지본영화중3위안에들정도로재밋게밧다 꼭한번씩은보길바래요 배울점도많아여"
"388",2013-09-22,"유호(wldm****)","짱짱맨"
"389",2013-09-22,"KeNam(85_0****)","다시봐도감동"
"390",2013-09-22,"웅얼(dain****)","멋진영화"
"391",2013-09-22,"alwaysa89(h898****)","최고의 한국 영화!"
"392",2013-09-22,"sah1111(love****)","당연히 10점 다시봐도 10점이다"
"393",2013-09-22,"cwju****","탄탄한 스토리와 잔잔한 유머진정한 리더십을 보여준 이병헌의 연기력"
"394",2013-09-22,"그래그래(dusd****)","최고~ 더이상 무슨말이 더 필요할까?"
"395",2013-09-22,"멍킹(jjeh****)","진짜안울수가없네요ㅡㅜ"
"396",2013-09-22,"기습특공(waff****)","부끄러운줄아시오!"
"397",2013-09-22,"jinw****","재미있네요"
"398",2013-09-22,"knr7****","이병헌이 연기를 잘한다는걸 또 새삼스레 느껴지네"
"399",2013-09-22,"짱(619h****)","정말 여운이 많이 남는 영화...왜 영화관에서 보지 못했을까,지금이라도 보니 참 다행이라는 생각이 드네요."
"400",2013-09-22,"opii****","시간 가는 줄 모르고 몰입해서 봤다"
"401",2013-09-22,"메이(cher****)","보면서몇번을울었는지 모르겠네.. 지금도 저런 사람이라면 당장 대통령을 시키고싶을정도다."
"402",2013-09-22,"할거업져(kuue****)","내가 이영화를 왜 안봤었을까..마지막가서 울었어요재미도 있고 감동도있는.. 진짜 재밌어요!!!!!"
"403",2013-09-22,"민겨잉(y664****)","최고의 영화 추천합니다."
"404",2013-09-22,"빠뼉(tjdw****)","내가 역사에 관해서라면 질색이다 작년에 개봉했던 영화라 아 안봐야지 했는데 보고 나서 흥미를 가지게 된 것 같다 재미있고 감동적이라서 울고 웃게 해주는 것 같아 좋은 영화이다 평점 10점을 줘도 아깝지 않은 영화라 생각한다 그리고 이병헌 연기잘한다"
"405",2013-09-22,"이지연(dhzl****)","명작!!!!"
"406",2013-09-22,"chwk****","감동적임니 진짜왕입니다요"
"407",2013-09-22,"긴토키는 꽃미남(dud2****)","최고의 영화다!짱"
"408",2013-09-22,"hsmi05(hsmi****)","이병헌씨 연기진짜 잘하네요..소름이 막돋음...영화진짜 잘만든듯 우리한테 많은걸 느끼게 해주는 영화.."
"409",2013-09-22,"다애(daae****)","이게진짜 영화지. 이병헌 류승룡 너무 환상적이었고. 마지막 허균이 배타고 떠나는 광해를보며 인사하는장면은 잊혀지지않을거같다.. 감동 웃음 메시지 모든게 환상의콤비였던 간만의 최고영화!!"
"410",2013-09-22,"후룰루(dhkd****)","진짜 7번방의 눈물 봐도 안울었는데 이건 두번<U+0094><U+009B>는데 두번다 글썽이게 만드네요. 짱입니디."
"411",2013-09-22,"lkjj****","진짜 한국사 영화중최고인뜻 ㄷㄷ"
"412",2013-09-22,"히츠(audc****)","분명 둘다 이병헌인데 초반에 이병헌이 왕 휸내내는걸보고 나도모르게 놀람 ㅋㅋㅋㅋㅋ"
"413",2013-07-16,"잔소리대마왕(ghh4****)","영화광해재미있게봐습니다"
"414",2013-07-15,"진식(prim****)","최고입니다111"
"415",2013-07-11,"whgu****","하 진짜 좋다"
"416",2013-07-10,"sbrm****","10점이다 영화관에서 못본게 아쉽다."
"417",2013-05-19,"호떡(exbo****)","국산영화에 대한 편견으로 잘 보내 않다고 오늘에서야 dvd로 봤는데역대 최고의 한국영화군요.. 재밌고 탄탄한 느낌!!"
"418",2013-09-22,"소원(tjgu****)","최근에 본 영화중 가장 좋은영화였습니다."
"419",2013-09-22,"김혜진(kkjj****)","내가 몇 편 영화 안보긴했지만 내가 본것중에 광해가 최고..^^. 어제 다시 봤는데도 역시 최고..여전한 감동.... ㅜㅜㅜ"
